CustomerID,Name,Age,Gender,JoinDate,SubscriptionType,MonthlyFee,PaymentMethod,TotalWatchTime,Cancelled,Email,Country,Region,LastLoginDate,NumSupportTickets,LoyaltyPoints,ReferralSource,PreferredDevice,PaymentFrequency
1,David Jackson,19,Male,29/06/2022,Standard,16.38,Paypal,45.55,FALSE,djackson1@yahoo.com,France,Region7,2/08/2023,0,715,Ad,Mobile,Monthly
2,Emily Martin,53,Non-binary,15/12/2021,Standard,15.9,Credit Card,7.85,TRUE,emartin2@streamworld.com,Australia,Region10,25/03/2025,0,272,Website,Mobile,Annual
3,Alex Taylor,75,Male,11/09/2023,Premium,18.67,Paypal,42.49,TRUE,ataylor3@yahoo.com,USA,Region10,26/06/2025,0,5,SocialMedia,Mobile,Monthly
4,Emily Brown,58,Female,15/06/2019,Basic,10.67,Credit Card,9.29,FALSE,ebrown4@gmail.com,Germany,Central,26/06/2025,3,940,Friend,Mobile,Monthly
5,Jane Anderson,27,Male,17/03/2022,Basic,8.98,Credit Card,14.94,FALSE,janderson5@example.com,Australia,East,26/06/2025,2,320,Ad,Tablet,Monthly
6,David Harris,58,Male,1/04/2023,Basic,9.72,Paypal,38.42,FALSE,dharris6@streamworld.com,UK,Central,26/06/2025,1,865,Website,Mobile,Quarterly
7,Robert Johnson,36,Non-binary,1/06/2018,Standard,15.46,Credit Card,0.36,TRUE,rjohnson7@streamworld.com,Canada,Region6,15/11/2019,3,735,Ad,Mobile,Monthly
8,Olivia White,22,Female,11/12/2023,Premium,19.36,Credit Card,7.82,TRUE,owhite8@yahoo.com,USA,Region9,26/06/2025,3,452,Website,Mobile,Monthly
9,Emily Jackson,23,Female,15/03/2022,Standard,15.09,Credit Card,56.28,FALSE,ejackson9@yahoo.com,UK,Central,26/06/2025,1,163,SocialMedia,Mobile,Quarterly
10,Olivia Martin,70,Male,24/08/2024,Standard,15.56,Credit Card,29.5,FALSE,omartin10@streamworld.com,UK,Region10,26/06/2025,1,551,SocialMedia,Desktop,Monthly
11,Emily Thomas,19,Male,31/05/2023,Standard,14.83,Paypal,32.3,FALSE,ethomas11@streamworld.com,Germany,South,26/06/2025,1,994,SocialMedia,Desktop,Monthly
12,David Taylor,41,Male,26/04/2023,Standard,15.75,Debit Card,2.37,FALSE,dtaylor12@yahoo.com,France,South,26/06/2025,2,646,Website,Mobile,Annual
13,Alex White,80,Female,19/08/2023,Basic,10.15,Credit Card,61.34,FALSE,awhite13@yahoo.com,Germany,Region8,26/06/2025,1,965,SocialMedia,Mobile,Quarterly
14,Alex Martin,53,Male,17/08/2018,Standard,15.66,Credit Card,17.42,FALSE,amartin14@example.com,Canada,North,16/02/2019,0,699,Website,Desktop,Monthly
15,Sarah Johnson,73,Non-binary,26/10/2023,Basic,10.06,Debit Card,13.01,FALSE,sjohnson15@yahoo.com,Australia,North,12/02/2024,0,92,Friend,Desktop,Monthly
16,Robert Johnson,67,Male,2/06/2024,Standard,16.24,Debit Card,26.13,TRUE,rjohnson16@yahoo.com,Germany,Region8,26/06/2025,5,84,Friend,Mobile,Annual
17,Laura Thomas,19,Female,5/01/2023,Standard,15.64,Paypal,5.21,TRUE,lthomas17@example.com,Canada,Region9,4/02/2024,0,39,Ad,Mobile,Monthly
18,David Smith,66,Male,27/08/2021,Basic,9.09,Credit Card,22.8,FALSE,dsmith18@example.com,France,Region7,26/01/2023,3,218,Friend,Desktop,Monthly
19,Michael Harris,47,Female,6/11/2019,Standard,15.47,Debit Card,44.09,TRUE,mharris19@streamworld.com,UK,Region6,28/03/2022,5,99,SocialMedia,Mobile,Monthly
20,John Jackson,77,Female,23/05/2025,Basic,9.82,Bank Transfer,61.48,FALSE,jjackson20@streamworld.com,USA,Region9,26/06/2025,2,151,Friend,Mobile,Monthly
21,Emily Thomas,56,Female,20/11/2020,Basic,8.67,Paypal,4.42,FALSE,ethomas21@gmail.com,Germany,Region9,26/06/2025,0,156,OrganicSearch,Mobile,Quarterly
22,Robert Johnson,61,Male,30/12/2024,Standard,13.55,Credit Card,79.74,TRUE,noatsign.com,USA,Region8,26/06/2025,3,519,Website,Desktop,Quarterly
23,Laura Harris,70,Female,18/03/2023,Standard,13.92,Credit Card,6.02,FALSE,lharris23@gmail.com,France,Region6,22/04/2023,1,745,SocialMedia,Mobile,Monthly
24,Emily Martin,41,Female,21/01/2019,Standard,16.3,Credit Card,1.62,TRUE,emartin24@yahoo.com,Australia,Central,26/06/2025,0,207,Website,Desktop,Monthly
25,Laura Smith,20,Prefer not to say,13/09/2021,Basic,10.58,Debit Card,16.89,TRUE,lsmith25@yahoo.com,Australia,Central,26/06/2025,2,196,SocialMedia,Mobile,Quarterly
26,Sarah Brown,18,Male,25/10/2022,Basic,9.35,Debit Card,18.87,FALSE,sbrown26@example.com,Australia,South,26/06/2025,3,421,OrganicSearch,Mobile,Quarterly
27,Emily Brown,30,Female,10/03/2021,Basic,10.29,Credit Card,23.18,TRUE,ebrown27@streamworld.com,Australia,Central,2/11/2022,1,559,Ad,Desktop,Quarterly
28,Laura Martin,58,Female,4/12/2020,Basic,9.76,Credit Card,58.32,FALSE,lmartin28@yahoo.com,France,West,1/06/2023,5,458,Friend,Mobile,Monthly
29,Alex Harris,26,Male,5/12/2018,Premium,20.2,Debit Card,8.56,FALSE,aharris29@gmail.com,Canada,East,26/06/2022,1,818,Ad,Tablet,Monthly
30,Alex Smith,38,Male,16/02/2024,Premium,19.38,Credit Card,6.84,FALSE,asmith30@example.com,Canada,Region7,17/01/2025,3,504,Friend,Desktop,Annual
31,Jane Smith,75,Female,21/06/2019,Premium,19.94,Debit Card,31.85,TRUE,jsmith31@yahoo.com,Australia,North,25/10/2024,0,453,OrganicSearch,Mobile,Monthly
32,Alex White,77,Female,10/04/2022,Basic,10.79,Credit Card,10.54,FALSE,awhite32@example.com,Germany,Region10,26/06/2025,0,995,Friend,Mobile,Quarterly
33,David Johnson,57,Non-binary,7/10/2021,Premium,20.56,Credit Card,16.69,FALSE,djohnson33@yahoo.com,France,East,20/03/2023,0,66,Ad,Mobile,Annual
34,David Johnson,33,Male,29/12/2021,Basic,9.36,Credit Card,4.71,FALSE,djohnson34@gmail.com,France,East,26/06/2025,1,38,Website,Mobile,Monthly
35,Alex Anderson,76,Female,25/06/2019,Standard,15.26,Debit Card,0.98,FALSE,aanderson35@streamworld.com,USA,Central,29/07/2019,1,260,OrganicSearch,Mobile,Monthly
36,Olivia Smith,65,Female,4/11/2020,Basic,9.42,Credit Card,29.56,TRUE,osmith36@streamworld.com,UK,West,14/11/2022,2,521,SocialMedia,Desktop,Monthly
37,David Thomas,45,Male,9/08/2024,Basic,9.63,Credit Card,13.69,FALSE,invalid_email.com,France,South,26/06/2025,0,198,Website,Desktop,Quarterly
38,Alex Harris,80,Female,26/10/2022,Basic,10.66,Credit Card,41.35,FALSE,aharris38@gmail.com,Australia,East,3/12/2024,0,192,Website,Desktop,Monthly
39,David Taylor,55,Male,7/11/2022,Standard,14.67,Debit Card,6.4,TRUE,dtaylor39@gmail.com,Australia,Central,26/06/2025,2,191,Ad,Desktop,Monthly
40,John Taylor,64,Male,10/08/2023,Basic,10.52,Debit Card,16.6,FALSE,jtaylor40@example.com,Canada,Region6,26/06/2025,0,911,Website,Desktop,Annual
41,Laura Anderson,54,Female,30/10/2023,Standard,16.04,Paypal,3.49,FALSE,landerson41@gmail.com,Germany,Region10,26/06/2025,4,962,Ad,Desktop,Monthly
