CustomerID,Name,Age,Gender,JoinDate,SubscriptionType,MonthlyFee,PaymentMethod,TotalWatchTime,Cancelled,Email,Country,Region,LastLoginDate,NumSupportTickets,LoyaltyPoints,ReferralSource,PreferredDevice,PaymentFrequency
1,David Jackson,19,Male,2022-06-29 00:00:00,Standard,16.38,Paypal,45.55,False,djackson1@yahoo.com,France,Region7,2023-08-02 00:00:00,0,715.0,Ad,Mobile,Monthly
2,Emily Martin,53,Non-binary,2021-12-15 00:00:00,Standard,15.9,Credit Card,7.85,True,emartin2@streamworld.com,Australia,Region10,2025-03-25 00:00:00,0,272.0,Website,Mobile,Annual
3,Alex Taylor,75,Male,2023-09-11 00:00:00,Premium,18.67,Paypal,42.49,True,ataylor3@yahoo.com,USA,Region10,2025-06-26 00:00:00,0,5.0,SocialMedia,Mobile,Monthly
4,Emily Brown,58,Female,2019-06-15 00:00:00,Basic,10.67,Credit Card,9.29,False,ebrown4@gmail.com,Germany,Central,2025-06-26 00:00:00,3,940.0,Friend,Mobile,Monthly
5,Jane Anderson,27,Male,2022-03-17 00:00:00,Basic,8.98,Credit Card,14.94,False,janderson5@example.com,Australia,East,2025-06-26 00:00:00,2,320.0,Ad,Tablet,Monthly
6,David Harris,58,Male,2023-04-01 00:00:00,Basic,9.72,Paypal,38.42,False,dharris6@streamworld.com,UK,Central,2025-06-26 00:00:00,1,865.0,Website,Mobile,Quarterly
7,Robert Johnson,36,Non-binary,2018-06-01 00:00:00,Standard,15.46,Credit Card,0.36,True,rjohnson7@streamworld.com,Canada,Region6,2019-11-15 00:00:00,3,735.0,Ad,Mobile,Monthly
8,Olivia White,22,Female,2023-12-11 00:00:00,Premium,19.36,Credit Card,7.82,True,owhite8@yahoo.com,USA,Region9,2025-06-26 00:00:00,3,452.0,Website,Mobile,Monthly
9,Emily Jackson,23,Female,2022-03-15 00:00:00,Standard,15.09,Credit Card,56.28,False,ejackson9@yahoo.com,UK,Central,2025-06-26 00:00:00,1,163.0,SocialMedia,Mobile,Quarterly
10,Olivia Martin,70,Male,2024-08-24 00:00:00,Standard,15.56,Credit Card,29.5,False,omartin10@streamworld.com,UK,Region10,2025-06-26 00:00:00,1,551.0,SocialMedia,Desktop,Monthly
11,Emily Thomas,19,Male,2023-05-31 00:00:00,Standard,14.83,Paypal,32.3,False,ethomas11@streamworld.com,Germany,South,2025-06-26 00:00:00,1,994.0,SocialMedia,Desktop,Monthly
12,David Taylor,41,Male,2023-04-26 00:00:00,Standard,15.75,Debit Card,2.37,False,dtaylor12@yahoo.com,France,South,2025-06-26 00:00:00,2,646.0,Website,Mobile,Annual
13,Alex White,80,Female,2023-08-19 00:00:00,Basic,10.15,Credit Card,61.34,False,awhite13@yahoo.com,Germany,Region8,2025-06-26 00:00:00,1,965.0,SocialMedia,Mobile,Quarterly
